"","Country","HDI","HDICategory","Age","Gender","Kids","Education","WorkStatus","AnnIncome","Occupation","TenureY","TenureM","CommSize","Marital","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfP","OthersP","DPMean","AIPMean","GPMean","SWLSMean"
"2036","United States",0.92,"Very high human development",55,"Female","Yes","dip","part-time",15000,"President",17,0,"Large-City","Married",1,1,3,4,3,3,3,3,2,2,3,5,2,4,4,4,4,1,2,1,1,4,4,1,2,3,1,3,4,2,4,1,4,5,3,3,4,3,2,5,3,3,4,4,4,4,2,"yes","yes",3.2,3,3,3.6
"2037","United States",0.92,"Very high human development",28,"Female","No","ma","full-time",45000,"Media Relations Manager",1,0,"Large-City","Single",0,0,4,4,3,2,2,1,2,2,4,1,2,3,2,1,3,3,4,3,4,3,4,2,2,5,3,2,3,3,4,3,3,4,2,3,3,4,4,3,4,4,4,5,4,4,4,"yes","yes",3,3,3.25,4.2
"2038","United States",0.92,"Very high human development",28,"Female","No","ma","full-time",150000,"Research Manager",1,1,"Large-City","Married",0,0,2,1,1,1,1,1,1,1,3,5,5,1,1,1,3,1,1,3,2,2,2,1,1,1,3,1,1,2,3,1,2,3,1,1,1,2,1,1,1,1,4,5,4,5,5,"no","no",1.2,2,1.5,4.6
"2039","United States",0.92,"Very high human development",28,"Female","No","ma","full-time",45000,"",1,0,"Large-City","",0,0,5,3,2,3,3,1,4,4,5,4,2,5,4,4,3,4,4,4,4,5,5,3,3,5,5,5,5,4,4,3,5,5,2,3,4,5,3,4,5,4,4,4,4,4,3,"yes","yes",3.2,4,4.1,3.8
"2040","United States",0.92,"Very high human development",55,"Female","Yes","deg","full-time",67500,"Medical Laboratory",17,0,"Large-City","Married",1,1,5,5,5,5,5,3,2,5,4,4,3,3,5,4,4,4,3,2,3,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,2,"yes","yes",5,4,3.95,3
"2041","United States",0.92,"Very high human development",45,"Male","Yes","deg","full-time",150000,"",10,0,"Small City","Separated",1,1,2,2,2,2,2,1,1,2,3,4,2,2,2,2,2,4,3,2,2,2,3,2,2,4,2,3,3,3,3,2,3,2,4,3,3,3,3,3,3,3,2,2,2,2,2,"no","no",2,2,2.85,2
"2042","United States",0.92,"Very high human development",24,"Female","No","deg","student",NA,"",0,7,"Large-City","Married",0,0,3,2,1,2,2,1,1,1,4,3,4,3,3,2,3,4,3,1,2,3,5,1,2,5,3,4,4,3,3,1,3,5,1,2,4,4,3,4,3,3,4,5,4,5,4,"yes","yes",2,3,3.15,4.4
"2043","United States",0.92,"Very high human development",28,"Female","No","deg","full-time",87500,"Financial Analyst",1,9,"Large-City","Married",0,0,4,3,4,2,2,3,2,5,2,2,1,2,3,1,2,5,2,3,1,3,3,3,4,3,4,4,1,5,3,4,4,3,5,4,4,5,4,2,3,3,2,2,2,2,2,"yes","no",3,2,3.55,2
"2044","United States",0.92,"Very high human development",67,"Female","No","phd","part-time",NA,"Unemployed",2,0,"Large-City","Single",0,0,3,2,2,1,1,1,1,5,2,2,1,1,3,3,2,2,2,1,3,3,3,1,2,1,1,3,3,3,4,1,1,5,1,2,2,3,3,3,3,1,5,5,4,4,1,"yes","no",1.8,2,2.3,3.8
"2045","United States",0.92,"Very high human development",37,"Female","No","ma","student",25000,"Assistant",3,0,"Medium-Sized","Single",0,0,4,4,4,3,3,1,2,2,5,4,3,3,4,2,4,1,4,3,4,4,5,3,2,4,4,4,4,4,4,4,4,4,2,2,4,3,2,4,3,4,2,3,3,3,3,"yes","yes",3.6,3,3.5,2.8
"2046","United States",0.92,"Very high human development",45,"Female","No","ma","full-time",87500,"",8,0,"Medium-Sized","Single",0,0,3,2,2,2,2,1,1,5,2,3,4,2,3,3,3,2,3,2,1,1,3,1,3,2,3,2,2,3,3,1,1,3,2,3,4,4,3,3,3,3,3,3,3,4,2,"yes","no",2.2,2,2.6,3
"2047","United States",0.92,"Very high human development",37,"Female","Yes","deg","full-time",150000,"",12,3,"Village","Married",0,2,4,4,4,3,3,1,1,4,3,4,1,2,4,5,4,3,3,2,3,2,3,1,2,3,1,2,3,4,4,3,3,4,3,3,4,4,4,5,5,4,3,3,3,4,4,"yes","yes",3.6,3,3.25,3.4
"2048","United States",0.92,"Very high human development",28,"Female","No","ma","full-time",87500,"",3,5,"Rural/Country","Married",0,0,4,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,3,2,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,3,4,5,4,5,3,"yes","yes",4.8,4,4.8,4.2
"2049","United States",0.92,"Very high human development",45,"Female","No","ma","part-time",NA,"",0,0,"","Single",0,0,4,4,4,5,5,1,3,3,4,4,5,3,3,3,4,3,3,3,4,4,4,4,2,2,4,2,4,3,4,3,2,4,1,3,4,3,3,4,4,3,2,3,3,3,2,"yes","yes",4.4,3,3.15,2.6
"2050","United States",0.92,"Very high human development",28,"Female","No","phd","full-time",45000,"Resident Physician",1,0,"Large Town","Married",0,0,2,3,3,1,1,1,1,1,3,2,4,1,2,1,3,4,2,2,1,1,3,1,1,5,2,1,3,2,3,2,3,3,2,1,3,4,3,5,4,4,1,1,1,2,1,"no","no",2,2,2.75,1.2
"2051","United States",0.92,"Very high human development",32,"Female","No","ltuni","student",10000,"",0,0,"Large-City","Single",0,0,4,4,3,4,3,1,3,5,5,5,5,4,5,4,5,4,3,3,3,4,5,5,3,3,2,5,4,3,5,2,4,5,3,2,4,4,2,4,5,4,3,3,4,3,2,"yes","yes",3.6,4,3.7,3
"2052","United States",0.92,"Very high human development",37,"Female","Yes","deg","full-time",45000,"Assistant",1,0,"Large-City","Married",1,1,4,5,1,1,1,1,1,2,2,4,4,1,5,3,4,2,2,3,1,4,5,1,5,1,1,1,5,1,5,2,3,4,2,1,5,5,3,5,5,4,2,2,2,2,1,"yes","yes",2.4,3,3.2,1.8
"2053","United States",0.92,"Very high human development",45,"Female","Yes","ma","retired",NA,"",0,0,"Small City","Married",1,2,2,2,3,3,2,1,1,4,1,2,2,2,3,2,2,2,1,2,1,2,3,1,2,5,2,1,3,2,3,1,2,3,2,2,2,4,4,4,3,5,5,4,5,5,5,"yes","no",2.4,2,2.7,4.8
"2054","United States",0.92,"Very high human development",45,"Female","No","deg","full-time",87500,"Program Officer",10,0,"Small City","Single",0,0,3,4,3,2,3,1,2,2,4,2,3,2,3,2,4,2,3,1,4,2,3,2,2,5,2,3,1,2,4,2,4,3,1,3,4,5,2,3,3,2,2,3,3,3,2,"yes","yes",3,2,2.8,2.6
"2055","United States",0.92,"Very high human development",37,"Male","No","ma","full-time",87500,"Deputy Chief Of Public Information For T",0,9,"Large-City","Single",0,0,5,4,5,4,4,3,4,4,5,3,4,5,5,4,5,5,5,5,5,5,5,5,4,5,2,1,4,5,4,5,5,5,3,3,4,4,5,5,4,4,1,2,1,1,1,"yes","yes",4.4,4,4.1,1.2
"2056","United States",0.92,"Very high human development",28,"Male","No","deg","full-time",55000,"Web Designer",0,6,"Large-City","Single",0,0,2,2,1,2,1,1,1,5,2,1,1,1,2,1,2,4,1,2,1,2,2,2,3,1,3,2,2,2,3,1,1,2,2,2,2,4,3,2,2,2,4,4,5,4,3,"no","no",1.6,2,2.15,4
"2057","United States",0.92,"Very high human development",32,"Female","No","ma","full-time",87500,"",1,0,"Large-City","Single",0,0,2,1,2,1,1,1,3,2,4,3,2,2,1,2,1,1,3,1,4,3,2,1,1,1,1,3,1,2,3,1,3,2,1,1,1,1,2,1,1,2,3,2,3,2,2,"no","no",1.4,2,1.55,2.4
"2058","United States",0.92,"Very high human development",23,"Male","No","deg","student",NA,"",0,9,"Large-City","Single",0,0,2,3,3,3,3,1,2,3,3,2,2,4,4,2,3,4,3,3,2,1,3,2,4,4,1,2,3,4,5,3,3,5,3,3,4,3,3,3,3,4,4,5,4,4,3,"yes","yes",2.8,3,3.25,4
"2059","United States",0.92,"Very high human development",25,"Female","No","deg","full-time",87500,"Public Health",3,6,"Large-City","Single",0,0,3,4,4,3,3,1,3,5,4,3,2,3,5,1,3,3,5,5,4,4,5,3,4,2,4,4,3,4,4,4,5,4,2,3,4,4,3,4,5,5,3,3,2,2,1,"yes","yes",3.4,3,3.8,2.2
"2060","United States",0.92,"Very high human development",32,"Male","No","phd","part-time",35000,"Educator",5,0,"Small City","Single",0,0,2,3,1,2,2,5,1,5,3,5,3,5,4,5,4,5,3,5,1,5,5,2,3,3,5,2,5,3,5,2,2,5,4,5,4,5,4,5,5,5,1,2,1,1,1,"yes","yes",2,4,3.95,1.2
"2061","United States",0.92,"Very high human development",32,"Female","No","deg","full-time",25000,"Page Designer For A Newspaper",3,0,"Large Town","Married",0,0,5,5,5,4,3,2,2,1,5,4,3,4,4,2,4,1,3,2,4,3,5,2,2,5,3,3,2,4,3,4,4,4,3,2,4,2,3,4,4,3,3,5,4,4,1,"yes","yes",4.4,3,3.3,3.4
"2062","United States",0.92,"Very high human development",25,"Male","No","deg","student",35000,"",1,0,"Medium-Sized","Single",0,0,3,1,1,1,1,2,4,5,4,2,3,5,4,2,4,5,5,3,4,4,4,4,4,4,4,2,4,2,4,5,3,4,2,5,5,5,5,3,3,3,3,3,3,4,4,"yes","yes",1.4,4,3.75,3.4
"2063","United States",0.92,"Very high human development",20,"Female","No","deg","student",10000,"",0,0,"","Single",0,0,3,4,3,3,3,3,4,4,4,5,3,4,4,2,4,4,4,4,4,4,4,3,4,5,4,3,3,4,4,3,2,5,3,4,4,4,4,4,4,2,3,3,3,4,3,"yes","yes",3.2,4,3.65,3.2
"2064","United States",0.92,"Very high human development",45,"Female","Yes","ma","full-time",87500,"Educator",17,0,"Large-City","Married",1,1,3,3,3,2,2,3,1,4,3,2,1,2,3,2,3,4,3,4,2,3,3,2,3,3,4,2,3,4,4,2,3,3,4,2,3,3,3,4,3,3,4,4,3,5,3,"no","no",2.6,3,3.05,3.8
"2065","United States",0.92,"Very high human development",67,"Female","No","phd","part-time",67500,"Attorney",30,0,"Large Town","Single",0,0,5,5,5,5,5,3,3,5,4,5,4,5,5,3,3,3,4,3,4,5,5,4,5,4,5,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,3,5,2,2,3,"yes","yes",5,4,4.7,3
"2066","United States",0.92,"Very high human development",45,"Male","Yes","phd","full-time",150000,"President",10,0,"Large-City","Married",1,0,2,4,2,2,2,1,1,4,2,5,5,5,4,5,5,5,2,4,2,5,5,3,4,2,3,4,5,2,5,3,2,5,1,3,4,5,4,5,5,5,2,2,2,4,2,"yes","yes",2.4,4,3.75,2.4
"2067","United States",0.92,"Very high human development",32,"Male","No","phd","full-time",67500,"Flight Surgeon",0,8,"Small City","Single",0,0,2,2,1,1,1,1,2,1,5,3,3,3,2,2,3,2,3,3,2,3,3,1,2,4,2,2,2,3,3,3,2,3,2,3,3,2,1,3,3,2,4,4,4,4,4,"yes","yes",1.4,3,2.45,4
"2068","United States",0.92,"Very high human development",37,"Male","No","deg","full-time",87500,"Sales",6,0,"Small Town","Married",0,0,3,3,4,2,2,1,1,1,2,3,2,2,3,2,3,2,4,2,2,3,3,3,3,4,2,1,2,2,3,2,4,4,2,2,2,4,4,3,3,2,4,4,4,4,4,"yes","no",2.8,2,2.75,4
"2069","United States",0.92,"Very high human development",37,"Female","Yes","ltuni","full-time",35000,"Accounts Payable / Fleet Manager",5,0,"Small Town","Divorced",0,2,5,4,5,4,3,3,5,5,5,5,3,5,3,4,5,4,5,5,5,5,5,2,5,5,5,4,5,4,3,5,4,5,5,5,5,5,5,4,2,5,1,1,1,3,1,"yes","yes",4.2,4,4.4,1.4
"2070","United States",0.92,"Very high human development",32,"Female","No","ma","part-time",25000,"Educator",10,0,"Large-City","Single",0,0,4,4,3,3,3,3,4,4,4,4,4,5,4,5,4,3,5,4,4,5,4,3,4,5,3,3,3,4,5,4,4,5,3,3,4,4,3,4,4,3,3,3,4,4,3,"yes","yes",3.4,4,3.75,3.4
"2071","United States",0.92,"Very high human development",21,"Male","No","deg","student",NA,"",0,8,"Medium-Sized","Single",0,0,3,3,4,3,3,1,3,2,4,3,5,3,4,3,4,3,4,3,3,3,4,2,2,4,5,2,4,3,4,4,3,4,3,2,4,4,4,4,3,2,3,4,4,3,3,"yes","yes",3.2,3,3.35,3.4
"2072","United States",0.92,"Very high human development",55,"Female","Yes","ma","full-time",87500,"Clinical Dietitian",10,2,"Large-City","Married",3,0,5,5,5,3,3,1,3,5,4,4,4,4,4,5,5,4,4,3,5,5,4,3,3,5,3,3,4,4,4,5,3,4,3,3,4,5,3,4,3,3,2,3,3,3,2,"yes","yes",4.2,4,3.65,2.6
"2073","United States",0.92,"Very high human development",37,"Male","No","ma","student",10000,"",3,0,"Large-City","Single",0,0,3,2,1,1,1,1,1,2,3,3,4,2,3,2,4,2,3,3,2,4,4,1,2,4,3,1,2,3,4,3,3,3,1,2,2,3,3,4,1,3,3,4,4,3,4,"yes","no",1.6,3,2.6,3.6
"2074","United States",0.92,"Very high human development",55,"Male","No","ma","full-time",150000,"Consultant",5,0,"Large-City","Divorced",0,0,3,3,4,3,3,1,1,5,3,3,1,3,3,2,2,4,2,4,1,3,4,1,3,2,1,2,3,4,4,2,1,4,2,3,2,5,4,4,4,3,2,3,3,2,3,"yes","no",3.2,3,2.9,2.6
"2075","United States",0.92,"Very high human development",45,"Male","No","phd","full-time",250000,"Consultant",28,0,"Large-City","Single",0,0,3,3,2,2,2,2,4,3,4,3,4,4,3,3,3,2,4,2,4,2,4,2,3,3,4,3,3,3,3,4,4,3,1,2,3,3,3,2,2,3,4,4,4,4,3,"yes","no",2.4,3,2.9,3.8
"2076","United States",0.92,"Very high human development",28,"Male","No","ltuni","full-time",45000,"Engineer",8,0,"Large Town","Single",0,0,5,3,1,2,2,5,4,3,3,3,2,3,4,2,3,4,4,5,3,5,4,1,2,1,5,5,5,3,3,3,2,4,5,5,4,2,4,4,4,4,1,2,2,2,1,"yes","no",2.6,4,3.5,1.6
"2077","United States",0.92,"Very high human development",16,"Male","No","lthigh","student",NA,"",0,0,"Small City","",0,0,4,4,4,2,2,3,1,4,2,3,2,4,2,3,2,3,2,2,1,3,2,2,3,2,2,2,3,4,4,2,3,4,2,4,4,4,4,2,4,4,4,4,4,4,4,"yes","yes",3.2,2,3.05,4
"2078","United States",0.92,"Very high human development",32,"Female","No","phd","student",NA,"",5,0,"Large-City","Single",0,0,3,4,2,2,2,2,3,5,4,3,4,1,4,2,4,4,4,2,3,4,5,2,3,5,3,3,3,2,4,5,4,5,3,4,4,4,4,4,3,2,3,4,2,3,2,"yes","no",2.6,3,3.6,2.8
"2079","United States",0.92,"Very high human development",19,"Female","No","ltuni","student",10000,"",0,0,"Large-City","Single",0,0,3,3,4,3,2,3,3,3,4,2,2,3,3,2,3,2,3,3,3,2,3,1,2,4,3,4,2,4,3,2,3,3,2,2,3,3,2,3,3,3,3,3,4,4,2,"no","no",3,3,2.75,3.2
"2080","United States",0.92,"Very high human development",45,"Female","Yes","phd","part-time",55000,"",0,0,"","Divorced",2,0,4,3,3,3,3,1,2,4,3,3,3,3,3,2,3,2,3,2,3,3,3,2,2,3,2,3,3,3,3,1,3,3,1,3,3,2,3,3,3,3,3,2,3,3,3,"yes","yes",3.2,3,2.6,2.8
"2081","United States",0.92,"Very high human development",32,"Male","No","ma","student",15000,"",3,0,"Large-City","Single",0,0,4,3,4,3,3,2,2,2,4,4,3,4,4,4,4,2,3,1,2,5,5,3,2,4,2,2,4,3,4,3,2,4,3,4,4,3,3,4,4,2,2,2,3,2,1,"yes","yes",3.4,3,3.25,2
"2082","United States",0.92,"Very high human development",23,"Female","No","deg","full-time",45000,"Assistant",1,0,"","Single",0,0,4,5,3,3,3,2,2,3,4,3,3,4,4,2,3,3,4,4,2,3,4,2,3,4,5,3,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,3,3,3,2,"yes","yes",3.6,3,3.75,2.6
"2083","United States",0.92,"Very high human development",32,"Female","No","ma","full-time",45000,"Educator",5,0,"Large-City","Single",0,0,3,2,4,3,3,2,2,4,3,2,1,3,4,2,4,5,2,5,1,3,4,3,3,4,3,3,3,3,4,4,3,4,3,3,4,4,4,4,3,4,3,2,3,2,3,"yes","no",3,3,3.5,2.6
"2084","United States",0.92,"Very high human development",28,"Female","No","ma","full-time",45000,"Programmer",1,4,"Large-City","Single",0,0,2,2,2,2,2,1,3,4,5,2,1,3,3,2,3,4,4,4,5,3,3,3,3,5,2,5,3,3,3,4,2,3,1,3,3,4,4,2,2,2,4,4,4,4,4,"no","no",2,3,3,4
"2085","United States",0.92,"Very high human development",37,"Female","No","ma","full-time",45000,"Educator",1,0,"Small City","Single",0,0,3,2,3,3,3,2,3,3,3,3,4,1,3,2,3,3,4,3,2,3,4,3,3,3,3,3,3,3,4,2,3,4,3,2,4,3,3,3,4,3,2,3,2,2,2,"yes","yes",2.8,3,3.15,2.2
"2086","United States",0.92,"Very high human development",45,"Female","Yes","deg","unemployed",NA,"Home Maker",17,0,"Large Town","Married",1,2,3,2,3,3,3,3,3,3,2,3,3,3,4,2,3,3,3,4,2,2,2,3,3,3,2,3,3,4,3,2,4,3,3,3,3,3,2,4,3,4,3,4,5,3,2,"","",2.8,3,3,3.4
"2087","United States",0.92,"Very high human development",45,"Male","Yes","phd","full-time",67500,"Educator",4,5,"Small Town","Married",1,1,3,4,3,4,4,3,4,5,5,4,5,4,5,4,4,5,5,2,4,4,5,3,4,3,4,3,4,5,5,4,4,5,4,4,5,5,4,4,3,5,1,2,2,2,2,"","",3.6,4,4.15,1.8
"2088","United States",0.92,"Very high human development",28,"Female","No","phd","full-time",150000,"Attorney",0,5,"Large-City","Single",0,0,4,4,4,3,3,2,4,5,5,4,4,4,4,3,4,4,5,5,4,5,5,3,4,5,5,3,4,4,5,5,4,4,4,4,4,4,3,4,3,3,3,2,2,3,2,"yes","yes",3.6,4,4,2.4
"2089","United States",0.92,"Very high human development",45,"Male","No","ma","unemployed",15000,"Freelance",0,0,"Medium-Sized","Single",0,0,4,1,1,1,1,2,2,2,2,1,5,1,2,1,2,5,4,4,1,3,1,2,1,5,1,2,2,1,2,2,4,4,5,3,3,5,5,2,1,4,3,3,4,4,4,"no","no",1.6,2,2.75,3.6
"2090","United States",0.92,"Very high human development",55,"Female","Yes","ltuni","full-time",250000,"",10,0,"Medium-Sized","Married",0,1,2,2,2,2,2,1,1,2,2,2,4,2,2,2,2,1,3,4,2,2,3,3,2,3,2,1,3,2,2,1,3,3,1,2,3,2,2,3,2,2,3,3,3,3,1,"no","no",2,2,2.25,2.6
"2091","United States",0.92,"Very high human development",67,"Male","Yes","phd","retired",67500,"Retired",8,0,"Small City","Widowed",2,1,3,3,3,2,2,1,1,3,4,4,2,3,3,1,2,3,2,2,2,3,3,2,2,2,2,5,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,"yes","no",2.6,2,2.75,2.6
"2092","United States",0.92,"Very high human development",45,"Female","Yes","ltuni","full-time",25000,"Educator",0,6,"Small City","Divorced",0,3,2,3,5,3,2,3,4,4,5,3,3,3,4,3,5,4,4,5,5,3,4,3,4,5,5,5,5,2,5,2,4,4,5,5,5,2,1,1,3,5,1,1,1,3,1,"yes","yes",3,4,3.75,1.4
"2093","United States",0.92,"Very high human development",16,"Female","No","ltuni","student",150000,"",0,0,"Small City","Single",0,0,3,2,2,2,2,1,1,1,2,1,4,2,3,1,1,1,1,2,1,1,1,1,2,2,3,3,1,4,3,2,3,3,2,2,2,2,2,1,2,1,3,4,3,4,4,"yes","yes",2.2,2,2.1,3.6
"2094","United States",0.92,"Very high human development",24,"Female","No","ma","student",15000,"",1,9,"Medium-Sized","Single",0,0,2,3,3,1,1,1,3,1,4,3,4,3,4,2,5,3,3,2,2,3,5,2,2,1,2,3,4,3,5,1,2,4,3,3,5,3,4,5,3,4,5,4,4,5,2,"yes","yes",2,3,3.2,4
"2095","United States",0.92,"Very high human development",25,"Female","No","ma","student",15000,"",1,0,"Large-City","Married",0,0,3,3,4,2,2,1,1,4,3,1,2,2,2,2,3,4,2,3,2,2,3,3,2,4,3,4,3,4,3,2,3,4,4,3,3,4,3,4,3,3,4,4,4,4,3,"yes","no",2.8,2,3.25,3.8
"2096","United States",0.92,"Very high human development",37,"Female","No","phd","full-time",87500,"Research Scientist",17,0,"Large-City","Married",0,0,4,3,2,2,2,1,1,5,1,5,5,5,3,3,4,5,2,5,1,3,4,3,3,1,5,4,5,3,5,1,3,5,4,4,4,4,4,4,4,3,4,4,4,4,2,"yes","yes",2.6,3,3.65,3.6
"2097","United States",0.92,"Very high human development",20,"Female","No","ltuni","part-time",10000,"Recreational Staff",3,5,"Small Town","Single",0,0,3,2,3,3,3,3,1,1,1,1,1,1,2,1,1,2,1,3,1,3,2,1,1,3,3,2,2,4,2,1,4,3,4,4,4,3,3,3,3,2,2,4,3,5,4,"yes","no",2.8,2,2.7,3.6
"2098","United States",0.92,"Very high human development",22,"Female","Yes","ltuni","student",10000,"",0,0,"Large-City","Single",0,2,2,3,3,2,3,2,3,5,4,3,1,5,4,3,3,5,4,5,2,5,4,2,2,4,4,4,3,3,3,2,3,3,4,5,3,5,5,4,3,2,4,3,4,4,3,"yes","yes",2.6,4,3.4,3.6
"2099","United States",0.92,"Very high human development",22,"Female","No","ltuni","full-time",10000,"Organic Grocery Store Cashier/shift Lead",0,11,"Medium-Sized","Single",0,0,4,4,4,4,4,3,4,5,4,4,5,5,4,2,4,4,4,4,4,4,4,2,1,3,3,4,3,4,3,3,5,4,2,3,4,2,1,4,4,3,3,1,2,2,2,"yes","yes",4,4,3.1,2
"2100","United States",0.92,"Very high human development",22,"Female","Yes","ltuni","student",NA,"",0,0,"Large-City","Single",0,2,3,3,1,2,3,3,4,4,3,2,2,2,3,2,2,2,2,4,2,2,2,1,2,2,2,4,2,4,3,2,5,2,3,4,3,3,3,4,2,3,2,2,3,1,1,"yes","yes",2.4,3,2.8,1.8
"2101","United States",0.92,"Very high human development",25,"Female","No","dip","full-time",25000,"Banker",6,9,"Large Town","Single",0,0,1,2,3,2,2,3,2,2,5,2,2,3,2,3,3,4,4,2,4,3,2,2,3,3,2,4,3,4,3,3,4,3,3,4,2,4,3,4,3,3,4,4,4,4,4,"no","no",2,3,3.1,4
"2102","United States",0.92,"Very high human development",25,"Female","No","dip","full-time",35000,"Banker",7,0,"Large-City","Single",0,0,3,4,4,3,4,2,2,3,2,1,2,3,2,5,4,3,2,3,2,3,4,4,3,4,2,3,4,3,2,3,3,2,3,3,2,4,4,3,3,2,4,3,4,2,2,"no","no",3.6,3,3.05,3
"2103","United States",0.92,"Very high human development",22,"Female","No","deg","part-time",10000,"Consultant",0,3,"Medium-Sized","Single",0,0,1,1,1,1,1,1,1,1,2,2,2,3,3,2,3,4,2,2,2,2,2,1,1,2,1,3,1,3,2,1,2,2,1,1,3,4,4,3,3,2,4,4,4,5,4,"yes","yes",1,2,2.1,4.2
"2104","United States",0.92,"Very high human development",16,"Male","No","ltuni","student",10000,"Senate Page",0,4,"Medium-Sized","Single",0,0,2,2,3,3,2,5,3,4,4,4,3,3,4,3,3,5,4,5,4,4,3,4,4,3,2,2,3,3,2,2,5,1,3,4,2,3,2,2,2,2,4,4,4,4,4,"yes","no",2.4,4,2.7,4
"2105","United States",0.92,"Very high human development",80,"Female","Yes","ma","retired",35000,"",0,0,"Small City","Divorced",1,0,3,3,1,3,2,1,1,4,3,1,1,1,2,1,2,1,1,1,1,2,3,2,2,3,2,1,1,3,3,1,4,3,3,2,3,1,1,2,3,4,2,3,3,3,2,"no","no",2.4,2,2.35,2.6
"2106","United States",0.92,"Very high human development",22,"Female","No","ltuni","student",45000,"Online Media Buyer",2,0,"Large Town","Single",0,0,1,2,1,1,1,1,1,1,3,3,1,1,1,1,2,2,2,1,2,3,2,1,1,3,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,3,4,5,4,4,"no","no",1.2,2,1.7,4
"2107","United States",0.92,"Very high human development",45,"Male","Yes","phd","full-time",NA,"Educator",7,0,"Small City","Married",1,1,4,3,4,3,2,3,3,5,5,5,2,5,5,5,5,5,1,5,4,4,4,3,3,3,3,3,3,3,4,4,2,4,5,5,4,5,4,3,3,3,3,3,3,3,3,"yes","yes",3.2,4,3.55,3
"2108","United States",0.92,"Very high human development",28,"Female","No","ma","student",25000,"Assistant",0,7,"Large-City","Single",0,0,3,3,2,3,3,3,4,4,4,4,3,4,4,3,4,2,5,3,5,5,5,3,4,5,5,1,5,3,5,4,1,5,3,3,5,3,4,4,4,5,4,3,4,4,5,"yes","yes",2.8,4,3.85,4
"2109","United States",0.92,"Very high human development",67,"Female","No","ma","retired",NA,"Free Lance Editor And Tutor--in Theory",1,0,"Large-City","Divorced",0,0,5,5,5,2,2,1,1,3,3,1,1,3,4,1,5,3,3,4,1,3,5,3,2,4,1,5,4,5,5,2,2,5,5,4,5,5,3,5,5,5,4,3,4,4,2,"yes","no",3.8,2,4,3.4
"2110","United States",0.92,"Very high human development",22,"Female","No","ltuni","full-time",15000,"Engineer",0,5,"Large-City","Single",0,0,4,3,3,2,2,3,3,4,2,3,2,2,4,2,2,3,1,3,1,1,1,3,2,2,3,4,3,3,4,3,2,4,4,3,3,4,3,4,4,3,2,3,2,3,2,"yes","no",2.8,2,3.1,2.4
"2111","United States",0.92,"Very high human development",20,"Female","No","ltuni","student",10000,"",17,0,"Large-City","Single",0,0,4,3,4,3,3,1,3,5,3,3,3,4,3,3,3,3,4,3,4,4,4,5,3,4,5,4,4,4,4,5,4,4,1,3,3,5,4,4,4,4,4,4,4,4,3,"yes","yes",3.4,3,3.9,3.8
"2112","United States",0.92,"Very high human development",19,"Female","No","ltuni","part-time",10000,"Server",0,4,"Small City","Single",0,0,4,2,2,2,2,2,1,1,1,2,2,5,4,2,3,4,1,3,2,5,4,3,2,5,3,5,4,2,5,2,2,4,5,4,5,4,5,3,3,3,5,5,5,5,5,"yes","yes",2.4,3,3.65,5
"2113","United States",0.92,"Very high human development",23,"Male","No","ltuni","full-time",15000,"Instructor / Coach",6,3,"Medium-Sized","Single",0,0,4,4,4,3,2,2,1,1,2,3,2,3,2,3,3,3,2,1,2,3,3,1,2,2,2,1,3,2,3,2,3,3,2,4,3,3,2,2,3,3,3,3,3,2,1,"no","yes",3.4,2,2.45,2.4
"2114","United States",0.92,"Very high human development",23,"Male","No","deg","student",35000,"",1,6,"Large-City","Single",0,0,3,4,5,3,3,2,2,5,3,2,3,4,3,2,3,4,3,3,3,3,4,2,4,4,3,3,4,4,4,4,4,4,2,3,5,4,3,4,4,5,4,4,3,4,4,"yes","no",3.6,3,3.7,3.8
"2115","United States",0.92,"Very high human development",55,"Female","Yes","ma","full-time",45000,"Land Use Planner",28,0,"Large-City","Married",0,2,4,4,4,3,2,1,2,5,5,3,4,4,4,3,4,4,3,2,3,3,4,1,4,5,4,3,4,4,4,3,4,4,1,2,3,5,3,4,4,4,2,3,3,3,2,"yes","yes",3.4,3,3.5,2.6
"2116","United States",0.92,"Very high human development",16,"Female","No","high","student",10000,"",0,0,"Large-City","Single",0,0,3,3,4,4,4,2,2,2,2,3,2,2,3,2,2,2,2,2,4,3,4,2,2,5,3,3,3,4,4,2,3,4,2,3,4,4,3,4,3,3,3,4,3,4,3,"yes","no",3.6,2,3.25,3.4
